,Dataset,Method,Coverage,Width,Avg. coverage per bin (pb),Std. coverage pb,Median coverage pb,Avg. width pb,Std. width pb,Median width pb
0,california,Naive,0.7556201550387597,1.2274747208880257,0.7556796049405408,0.15310069539849702,0.8373648658779782,1.2274747208880257,1.0467283057891834e-16,1.2274747208880257
1,california,CV+,0.8015503875968992,1.38977216615451,0.8016314144222006,0.14696422493331757,0.8799649138590258,1.3897735278429124,0.005512502301216465,1.3876109285121814
2,california,Jackknife+-AB,0.7947674418604651,1.3675834620536114,0.7948304141618072,0.1536121168799013,0.8817829457364341,1.3675833966543434,0.0006946158146163176,1.36739882502168
3,california,CQR,0.7887596899224806,1.4067865703981735,0.7888381888314387,0.09245050150611117,0.8063814793156703,1.406844520646644,0.24250652704512649,1.3562276631527235
4,diabetes,Naive,0.5405405405405406,84.9900852279382,0.5339285714285713,0.1715640213554738,0.5454545454545454,84.99008522793815,0.0,84.99008522793815
5,diabetes,CV+,0.8018018018018018,148.69536973655553,0.7951298701298701,0.1299643417297591,0.8181818181818182,148.67542910079266,1.4784688815619391,148.12922635273424
6,diabetes,Jackknife+-AB,0.7927927927927928,139.03714569193127,0.7860389610389611,0.1381594288244299,0.8181818181818182,139.04911614972215,0.4591701922287412,139.14417876960644
7,diabetes,CQR,0.8468468468468469,163.9932366283295,0.8589285714285714,0.1443384802071141,0.8920454545454546,164.7154776295451,14.280403892302424,168.53165391705468
8,make_regression,Naive,0.6348,42.46539959797695,0.6350136546184739,0.05865003026527328,0.654,42.46539959797696,2.3684757858670005e-15,42.46539959797696
9,make_regression,CV+,0.948,75.50530693063668,0.9483261044176705,0.06805436303438754,0.978,75.5025858007092,1.5105639551904848,75.65289585574462
10,make_regression,Jackknife+-AB,0.798,47.06511427371996,0.7981799196787149,0.16991483999252457,0.874,47.06506230355691,0.1503662559395135,47.04475242705787
11,make_regression,CQR,0.8024,71.65286775796903,0.8027277108433735,0.03036299437201547,0.812,71.6180896375424,40.05887098795162,53.659870424471464
12,friedman1,Naive,0.5084,0.6882170457338159,0.5085670682730923,0.07140196845561828,0.496,0.6882170457338159,9.110144953299442e-16,0.6882170457338165
13,friedman1,CV+,0.9116,1.5763608145054249,0.9119453815261045,0.04937464736406497,0.92,1.576352117230549,0.04606947840316997,1.5773683788133737
14,friedman1,Jackknife+-AB,0.81,1.3315417117100172,0.8102698795180723,0.11351636576870276,0.828,1.3315412207856312,0.00467878739292554,1.33144610576392
15,friedman1,CQR,0.8148,1.5143898270577103,0.8150939759036145,0.06239885492938507,0.832,1.513599276672594,0.23286924289433344,1.4321369528597374
16,friedman2,Naive,0.6232,11.175941374708048,0.6235598393574298,0.18094582894913927,0.552,11.175941374708048,3.494003543838159e-14,11.175941374708033
17,friedman2,CV+,0.9848,24.32010110769935,0.9851983935742974,0.019325438745350084,0.992,24.320204554950028,3.540177909287339,25.348528473146885
18,friedman2,Jackknife+-AB,0.8584,11.246838198016581,0.8587742971887551,0.07577303413377443,0.878,11.24681258949143,0.5758620772662741,11.347804877270509
19,friedman2,CQR,0.8112,41.93080260131229,0.8115550200803213,0.06154479197220383,0.828,41.89683891704824,58.85007720475561,23.55594234178433
20,friedman3,Naive,0.6324,0.018557023872280507,0.6324738955823294,0.31910851443562593,0.604,0.018557023872280507,6.411961829835422e-17,0.01855702387228053
21,friedman3,CV+,0.9708,0.05115816158247738,0.9711405622489961,0.04658041738584474,0.996,0.051151752343347755,0.014178545624998325,0.04640396336273167
22,friedman3,Jackknife+-AB,0.8444,0.024016679871013805,0.8445574297188754,0.1989841441126205,0.948,0.024013593905567628,0.0027151081910162284,0.02291840798523577
23,friedman3,CQR,0.8116,0.045752750554256004,0.8118666666666667,0.13808918213322224,0.8580000000000001,0.0458014181237155,0.06972034677885727,0.01914429570483974
24,heteroscedastic,Naive,0.8132,6.814546296726534,0.8135855421686747,0.17453777994589445,0.852,6.814546296726533,0.0,6.814546296726533
25,heteroscedastic,CV+,0.8176,6.903080875434539,0.8179855421686748,0.175473265436055,0.86,6.903088049541745,0.003513645572960568,6.902525903720616
26,heteroscedastic,Jackknife+-AB,0.8168,6.882229235970907,0.8171855421686749,0.1779060834072694,0.862,6.882227551410692,0.0038269884676927603,6.88324931123217
27,heteroscedastic,CQR,0.8204,6.523083653476931,0.8207036144578315,0.09500388350823914,0.8340000000000001,6.521755315030087,3.2858100664233625,6.729047408027207
28,homoscedastic,Naive,0.7944,2.597103081304965,0.7947100401606426,0.027721137641280036,0.794,2.597103081304965,1.4802973661668753e-16,2.597103081304965
29,homoscedastic,CV+,0.812,2.6855346343396715,0.8123212851405622,0.030630742978989437,0.8160000000000001,2.685538926986808,0.0030803646788580058,2.685462189503612
30,homoscedastic,Jackknife+-AB,0.8104,2.651994265309086,0.8107212851405622,0.032681736087950795,0.812,2.6519941645655765,0.0003328223493378522,2.65189239361509
31,homoscedastic,CQR,0.8088,2.6426503447321963,0.8091261044176706,0.031026944653784583,0.8156305220883534,2.6425609151505673,0.031718270290157315,2.641349703587457
